"Kind","Name","PercentLackOfCohesion","CountClassCoupled","SumCyclomatic","MaxNesting","CountClassDerived","CountClassBase","MaxInheritanceTree"
"Public Class","org.repodriller.filter.commit.OnlyInBranches",50,3,3,0,0,2,1
"Public Constructor","org.repodriller.filter.commit.OnlyInBranches.OnlyInBranches",,,1,0,,,
"Public Method","org.repodriller.filter.commit.OnlyInBranches.accept",,,2,0,,,
"Lambda Method","org.repodriller.filter.commit.OnlyInBranches.accept.(lambda_expr_1)",,,2,0,,,
"Lambda Method","org.repodriller.filter.commit.OnlyInBranches.accept.(lambda_expr_1).(lambda_expr_2)",,,1,0,,,
"Public Class","org.repodriller.filter.commit.OnlyInBranchesTest",0,9,1,0,0,1,1
"Public Method","org.repodriller.filter.commit.OnlyInBranchesTest.shouldAcceptIfCommitBelongsToMainBranch",,,1,0,,,
"Public Class","org.repodriller.filter.commit.OnlyInMainBranch",0,1,1,0,0,2,1
"Public Method","org.repodriller.filter.commit.OnlyInMainBranch.accept",,,1,0,,,
"Public Class","org.repodriller.filter.commit.OnlyInMainBranchTest",0,10,1,0,0,1,1
"Public Method","org.repodriller.filter.commit.OnlyInMainBranchTest.shouldAcceptIfCommitBelongsToAnyOfBranchesInTheList",,,1,0,,,
"Public Class","org.repodriller.filter.commit.OnlyModificationsWithFileTypes",50,2,3,0,0,2,1
"Public Constructor","org.repodriller.filter.commit.OnlyModificationsWithFileTypes.OnlyModificationsWithFileTypes",,,1,0,,,
"Public Method","org.repodriller.filter.commit.OnlyModificationsWithFileTypes.accept",,,2,0,,,
"Lambda Method","org.repodriller.filter.commit.OnlyModificationsWithFileTypes.accept.(lambda_expr_1)",,,2,0,,,
"Lambda Method","org.repodriller.filter.commit.OnlyModificationsWithFileTypes.accept.(lambda_expr_1).(lambda_expr_2)",,,1,0,,,
"Public Class","org.repodriller.filter.commit.OnlyModificationsWithFileTypesTest",0,12,1,0,0,1,1
"Public Method","org.repodriller.filter.commit.OnlyModificationsWithFileTypesTest.shouldAcceptIfCommitContainsFilesWithThatType",,,1,0,,,
"Public Class","org.repodriller.filter.commit.OnlyNoMerge",0,1,1,0,0,2,1
"Public Method","org.repodriller.filter.commit.OnlyNoMerge.accept",,,1,0,,,
"Public Class","org.repodriller.filter.commit.OnlyNoMergeTest",0,9,1,0,0,1,1
"Public Method","org.repodriller.filter.commit.OnlyNoMergeTest.shouldAcceptIfCommitIsNotAMergeCommit",,,1,0,,,
"Package","org.repodriller.filter.diff",,,11,0,,,
"Public Interface","org.repodriller.filter.diff.DiffFilter",0,1,0,0,3,0,0
"Abstract Method","org.repodriller.filter.diff.DiffFilter.accept",,,0,0,,,
"Public Class","org.repodriller.filter.diff.NoDiffFilter",0,2,1,0,0,2,1
"Public Method","org.repodriller.filter.diff.NoDiffFilter.accept",,,1,0,,,
"Public Class","org.repodriller.filter.diff.OnlyDiffsWithFileTypes",0,4,2,0,0,2,1
"Public Constructor","org.repodriller.filter.diff.OnlyDiffsWithFileTypes.OnlyDiffsWithFileTypes",,,1,0,,,
